egoid,term,semester,academic_year,college_year,courses_enrolled,graded_courses,term_gpa,courses_passed
15776,201400,Summer 2014,2014-2015,Senior,1,1,4.0,1
15776,201410,Fall 2014,2014-2015,Senior,6,5,4.0,6
15776,201420,Spring 2015,2014-2015,Senior,5,5,4.0,5
16313,201110,Fall 2011,2011-2012,Freshman,8,4,3.833,8
16313,201120,Spring 2012,2011-2012,Freshman,7,5,3.867,7
16313,201210,Fall 2012,2012-2013,Sophomore,8,7,4.0,8
16313,201220,Spring 2013,2012-2013,Sophomore,8,7,3.81,8
16313,201310,Fall 2013,2013-2014,Junior,5,4,3.833,5
16313,201320,Spring 2014,2013-2014,Junior,6,5,3.933,6
16313,201410,Fall 2014,2014-2015,Senior,5,5,3.867,5
16313,201420,Spring 2015,2014-2015,Senior,6,4,3.75,6
16933,201110,Fall 2011,2011-2012,Freshman,12,6,3.611,12
16933,201120,Spring 2012,2011-2012,Freshman,7,6,3.333,7
16933,201210,Fall 2012,2012-2013,Sophomore,7,6,3.667,7
16933,201220,Spring 2013,2012-2013,Sophomore,7,6,3.667,7
16933,201310,Fall 2013,2013-2014,Junior,6,5,3.867,6
16933,201320,Spring 2014,2013-2014,Junior,5,4,3.667,5
16933,201410,Fall 2014,2014-2015,Senior,5,5,3.867,5
16933,201420,Spring 2015,2014-2015,Senior,6,4,3.333,6
17353,201110,Fall 2011,2011-2012,Freshman,13,4,3.667,13
17353,201120,Spring 2012,2011-2012,Freshman,6,5,3.8,6
17353,201210,Fall 2012,2012-2013,Sophomore,6,5,3.6,6
17353,201220,Spring 2013,2012-2013,Sophomore,5,5,3.8,5
17353,201300,Summer 2013,2013-2014,Junior,3,3,4.0,3
17353,201310,Fall 2013,2013-2014,Junior,5,5,3.6,5
17353,201320,Spring 2014,2013-2014,Junior,7,6,3.222,7
17353,201410,Fall 2014,2014-2015,Senior,5,5,3.667,5
17353,201420,Spring 2015,2014-2015,Senior,5,4,3.667,5
18420,201110,Fall 2011,2011-2012,Freshman,13,6,3.333,13
18420,201120,Spring 2012,2011-2012,Freshman,6,5,3.4,6
18420,201210,Fall 2012,2012-2013,Sophomore,8,7,3.191,8
18420,201220,Spring 2013,2012-2013,Sophomore,7,7,3.286,7
18420,201310,Fall 2013,2013-2014,Junior,7,7,3.619,7
18420,201320,Spring 2014,2013-2014,Junior,8,6,3.667,8
18420,201410,Fall 2014,2014-2015,Senior,7,6,3.555,7
18420,201420,Spring 2015,2014-2015,Senior,6,6,3.722,6
19066,201110,Fall 2011,2011-2012,Freshman,10,5,3.8,10
19066,201120,Spring 2012,2011-2012,Freshman,6,5,3.533,6
19066,201210,Fall 2012,2012-2013,Sophomore,7,5,3.867,7
19066,201220,Spring 2013,2012-2013,Sophomore,6,6,3.889,6
19066,201310,Fall 2013,2013-2014,Junior,5,4,3.917,5
19066,201320,Spring 2014,2013-2014,Junior,6,5,3.533,6
19066,201410,Fall 2014,2014-2015,Senior,5,4,3.917,5
19066,201420,Spring 2015,2014-2015,Senior,4,4,3.75,4
21350,201110,Fall 2011,2011-2012,Freshman,7,5,3.867,7
21350,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
21350,201210,Fall 2012,2012-2013,Sophomore,6,5,3.933,6
21350,201220,Spring 2013,2012-2013,Sophomore,6,5,4.0,6
21350,201310,Fall 2013,2013-2014,Junior,1,0,,1
21350,201320,Spring 2014,2013-2014,Junior,6,5,3.733,6
21350,201410,Fall 2014,2014-2015,Senior,7,5,4.0,7
21350,201420,Spring 2015,2014-2015,Senior,7,5,4.0,7
22617,201110,Fall 2011,2011-2012,Freshman,6,5,3.6,6
22617,201120,Spring 2012,2011-2012,Freshman,7,5,3.8,7
22617,201210,Fall 2012,2012-2013,Sophomore,6,6,3.389,6
22617,201220,Spring 2013,2012-2013,Sophomore,7,6,2.778,7
22617,201300,Summer 2013,2013-2014,Junior,1,1,3.333,1
22617,201310,Fall 2013,2013-2014,Junior,8,7,3.143,8
22617,201320,Spring 2014,2013-2014,Junior,5,5,3.467,5
22617,201400,Summer 2014,2014-2015,Senior,1,1,3.333,1
22617,201410,Fall 2014,2014-2015,Senior,8,6,3.055,8
22617,201420,Spring 2015,2014-2015,Senior,9,7,3.048,9
22745,201110,Fall 2011,2011-2012,Freshman,11,5,3.533,11
22745,201120,Spring 2012,2011-2012,Freshman,6,5,3.6,6
22745,201210,Fall 2012,2012-2013,Sophomore,6,6,3.5,6
22745,201220,Spring 2013,2012-2013,Sophomore,8,6,3.333,8
22745,201300,Summer 2013,2013-2014,Junior,1,0,,1
22745,201310,Fall 2013,2013-2014,Junior,7,6,3.167,7
22745,201320,Spring 2014,2013-2014,Junior,6,6,4.0,6
22745,201400,Summer 2014,2014-2015,Senior,1,0,,1
22745,201410,Fall 2014,2014-2015,Senior,6,5,3.533,6
22745,201420,Spring 2015,2014-2015,Senior,7,4,3.667,7
23040,201110,Fall 2011,2011-2012,Freshman,11,5,3.333,11
23040,201120,Spring 2012,2011-2012,Freshman,7,5,3.6,7
23040,201210,Fall 2012,2012-2013,Sophomore,5,5,3.667,5
23040,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
23040,201310,Fall 2013,2013-2014,Junior,5,5,3.667,5
23040,201320,Spring 2014,2013-2014,Junior,5,5,3.933,5
23040,201410,Fall 2014,2014-2015,Senior,4,4,4.0,4
23040,201420,Spring 2015,2014-2015,Senior,4,4,3.833,4
23144,201110,Fall 2011,2011-2012,Freshman,13,5,3.334,13
23144,201120,Spring 2012,2011-2012,Freshman,7,5,3.066,7
23144,201210,Fall 2012,2012-2013,Sophomore,7,6,3.222,7
23144,201220,Spring 2013,2012-2013,Sophomore,10,7,2.952,10
23144,201300,Summer 2013,2013-2014,Junior,2,2,3.667,2
23144,201310,Fall 2013,2013-2014,Junior,7,6,3.778,7
23144,201320,Spring 2014,2013-2014,Junior,9,6,3.778,9
23144,201410,Fall 2014,2014-2015,Senior,11,8,3.625,11
23144,201420,Spring 2015,2014-2015,Senior,10,9,3.259,10
24543,201110,Fall 2011,2011-2012,Freshman,13,5,3.867,13
24543,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
24543,201210,Fall 2012,2012-2013,Sophomore,8,6,3.889,8
24543,201220,Spring 2013,2012-2013,Sophomore,6,6,4.0,6
24543,201310,Fall 2013,2013-2014,Junior,6,6,3.945,6
24543,201320,Spring 2014,2013-2014,Junior,6,5,3.933,6
24543,201410,Fall 2014,2014-2015,Senior,6,6,3.945,6
24543,201420,Spring 2015,2014-2015,Senior,2,2,3.5,2
24760,201110,Fall 2011,2011-2012,Freshman,14,6,3.389,14
24760,201120,Spring 2012,2011-2012,Freshman,9,7,3.286,9
24760,201210,Fall 2012,2012-2013,Sophomore,8,7,3.333,8
24760,201220,Spring 2013,2012-2013,Sophomore,8,7,3.333,8
24760,201310,Fall 2013,2013-2014,Junior,6,5,3.733,6
24760,201320,Spring 2014,2013-2014,Junior,6,5,3.533,6
24760,201410,Fall 2014,2014-2015,Senior,5,5,3.933,5
24760,201420,Spring 2015,2014-2015,Senior,6,5,3.533,6
24853,201110,Fall 2011,2011-2012,Freshman,9,6,3.389,9
24853,201120,Spring 2012,2011-2012,Freshman,6,5,3.6,6
24853,201210,Fall 2012,2012-2013,Sophomore,6,6,3.389,6
24853,201220,Spring 2013,2012-2013,Sophomore,6,6,3.611,6
24853,201310,Fall 2013,2013-2014,Junior,11,9,3.37,11
24853,201320,Spring 2014,2013-2014,Junior,11,9,3.481,11
24853,201410,Fall 2014,2014-2015,Senior,11,11,3.212,11
24853,201420,Spring 2015,2014-2015,Senior,11,8,3.083,11
25171,201110,Fall 2011,2011-2012,Freshman,12,5,3.267,12
25171,201120,Spring 2012,2011-2012,Freshman,6,5,3.4,6
25171,201210,Fall 2012,2012-2013,Sophomore,5,5,3.467,5
25171,201220,Spring 2013,2012-2013,Sophomore,6,6,3.667,6
25171,201310,Fall 2013,2013-2014,Junior,6,4,3.667,6
25171,201320,Spring 2014,2013-2014,Junior,5,5,3.4,5
25171,201410,Fall 2014,2014-2015,Senior,5,5,3.333,5
25171,201420,Spring 2015,2014-2015,Senior,4,4,3.833,4
25323,201110,Fall 2011,2011-2012,Freshman,9,5,3.467,9
25323,201120,Spring 2012,2011-2012,Freshman,6,5,3.8,6
25323,201210,Fall 2012,2012-2013,Sophomore,6,6,3.555,6
25323,201220,Spring 2013,2012-2013,Sophomore,7,6,3.667,7
25323,201310,Fall 2013,2013-2014,Junior,8,8,3.375,8
25323,201320,Spring 2014,2013-2014,Junior,6,5,3.467,6
25323,201410,Fall 2014,2014-2015,Senior,5,5,3.467,5
25323,201420,Spring 2015,2014-2015,Senior,5,5,3.333,5
25494,201110,Fall 2011,2011-2012,Freshman,9,5,3.266,9
25494,201120,Spring 2012,2011-2012,Freshman,6,5,3.067,6
25494,201210,Fall 2012,2012-2013,Sophomore,5,5,3.533,5
25494,201220,Spring 2013,2012-2013,Sophomore,5,5,3.6,5
25494,201310,Fall 2013,2013-2014,Junior,6,6,3.833,6
25494,201320,Spring 2014,2013-2014,Junior,5,5,3.734,5
25494,201410,Fall 2014,2014-2015,Senior,9,9,3.593,9
25494,201420,Spring 2015,2014-2015,Senior,5,3,3.778,5
26425,201110,Fall 2011,2011-2012,Freshman,17,5,3.733,17
26425,201120,Spring 2012,2011-2012,Freshman,6,5,3.4,6
26425,201210,Fall 2012,2012-2013,Sophomore,7,5,3.733,7
26425,201220,Spring 2013,2012-2013,Sophomore,6,5,3.8,6
26425,201310,Fall 2013,2013-2014,Junior,6,5,3.6,6
26425,201320,Spring 2014,2013-2014,Junior,6,5,3.867,6
26425,201410,Fall 2014,2014-2015,Senior,5,4,3.917,5
26425,201420,Spring 2015,2014-2015,Senior,6,4,3.917,6
26999,201110,Fall 2011,2011-2012,Freshman,13,5,3.933,13
26999,201120,Spring 2012,2011-2012,Freshman,5,4,4.0,5
26999,201210,Fall 2012,2012-2013,Sophomore,6,6,3.611,6
26999,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
26999,201310,Fall 2013,2013-2014,Junior,8,8,3.542,8
26999,201320,Spring 2014,2013-2014,Junior,6,6,3.667,6
26999,201400,Summer 2014,2014-2015,Senior,1,0,,1
26999,201410,Fall 2014,2014-2015,Senior,5,5,3.333,5
26999,201420,Spring 2015,2014-2015,Senior,9,8,3.167,9
28831,201110,Fall 2011,2011-2012,Freshman,13,5,3.333,13
28831,201120,Spring 2012,2011-2012,Freshman,5,4,3.833,5
28831,201210,Fall 2012,2012-2013,Sophomore,5,5,3.667,5
28831,201220,Spring 2013,2012-2013,Sophomore,5,5,3.533,5
28831,201300,Summer 2013,2013-2014,Junior,2,2,4.0,2
28831,201310,Fall 2013,2013-2014,Junior,5,5,3.467,5
28831,201320,Spring 2014,2013-2014,Junior,5,5,3.267,5
28831,201410,Fall 2014,2014-2015,Senior,5,5,2.6,5
28831,201420,Spring 2015,2014-2015,Senior,5,5,2.533,5
29914,201110,Fall 2011,2011-2012,Freshman,8,5,3.933,8
29914,201120,Spring 2012,2011-2012,Freshman,6,5,3.867,6
29914,201210,Fall 2012,2012-2013,Sophomore,6,5,3.867,6
29914,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
29914,201310,Fall 2013,2013-2014,Junior,7,6,3.889,7
29914,201320,Spring 2014,2013-2014,Junior,6,6,4.0,6
29914,201410,Fall 2014,2014-2015,Senior,6,6,4.0,6
29914,201420,Spring 2015,2014-2015,Senior,6,6,4.0,6
32100,201110,Fall 2011,2011-2012,Freshman,9,5,4.0,9
32100,201120,Spring 2012,2011-2012,Freshman,6,5,3.867,6
32100,201210,Fall 2012,2012-2013,Sophomore,6,6,3.945,6
32100,201220,Spring 2013,2012-2013,Sophomore,5,5,3.8,5
32100,201310,Fall 2013,2013-2014,Junior,6,4,3.833,6
32100,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
32100,201410,Fall 2014,2014-2015,Senior,5,5,3.667,5
32100,201420,Spring 2015,2014-2015,Senior,6,3,3.667,6
32174,201110,Fall 2011,2011-2012,Freshman,13,5,3.933,13
32174,201120,Spring 2012,2011-2012,Freshman,7,5,3.933,7
32174,201210,Fall 2012,2012-2013,Sophomore,5,5,3.933,5
32174,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
32174,201310,Fall 2013,2013-2014,Junior,5,5,3.933,5
32174,201320,Spring 2014,2013-2014,Junior,5,5,3.667,5
32174,201410,Fall 2014,2014-2015,Senior,6,4,3.917,6
32174,201420,Spring 2015,2014-2015,Senior,5,5,3.933,5
33094,201110,Fall 2011,2011-2012,Freshman,14,6,3.444,14
33094,201120,Spring 2012,2011-2012,Freshman,8,6,3.556,8
33094,201210,Fall 2012,2012-2013,Sophomore,7,6,3.222,7
33094,201220,Spring 2013,2012-2013,Sophomore,7,7,3.667,7
33094,201310,Fall 2013,2013-2014,Junior,8,7,3.619,8
33094,201320,Spring 2014,2013-2014,Junior,5,5,3.667,5
33094,201410,Fall 2014,2014-2015,Senior,8,7,3.762,8
33094,201420,Spring 2015,2014-2015,Senior,7,7,3.667,7
36006,201110,Fall 2011,2011-2012,Freshman,10,5,3.867,10
36006,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
36006,201210,Fall 2012,2012-2013,Sophomore,5,5,4.0,5
36006,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
36006,201310,Fall 2013,2013-2014,Junior,5,5,4.0,5
36006,201320,Spring 2014,2013-2014,Junior,4,4,4.0,4
36006,201410,Fall 2014,2014-2015,Senior,4,4,4.0,4
36006,201420,Spring 2015,2014-2015,Senior,4,4,4.0,4
36951,201110,Fall 2011,2011-2012,Freshman,14,6,4.0,14
36951,201120,Spring 2012,2011-2012,Freshman,8,5,4.0,8
36951,201210,Fall 2012,2012-2013,Sophomore,6,6,3.945,6
36951,201220,Spring 2013,2012-2013,Sophomore,5,5,3.867,5
36951,201310,Fall 2013,2013-2014,Junior,5,5,3.933,5
36951,201320,Spring 2014,2013-2014,Junior,6,5,4.0,6
36951,201410,Fall 2014,2014-2015,Senior,4,4,4.0,4
36951,201420,Spring 2015,2014-2015,Senior,4,4,4.0,4
37617,201110,Fall 2011,2011-2012,Freshman,8,5,3.467,8
37617,201120,Spring 2012,2011-2012,Freshman,6,5,3.533,6
37617,201210,Fall 2012,2012-2013,Sophomore,6,6,3.611,6
37617,201220,Spring 2013,2012-2013,Sophomore,5,5,3.867,5
37617,201310,Fall 2013,2013-2014,Junior,5,5,3.8,5
37617,201320,Spring 2014,2013-2014,Junior,6,5,3.867,6
37617,201410,Fall 2014,2014-2015,Senior,5,5,3.8,5
37617,201420,Spring 2015,2014-2015,Senior,4,4,4.0,4
38927,201110,Fall 2011,2011-2012,Freshman,11,5,3.6,11
38927,201120,Spring 2012,2011-2012,Freshman,6,5,3.467,6
38927,201210,Fall 2012,2012-2013,Sophomore,7,7,3.476,7
38927,201220,Spring 2013,2012-2013,Sophomore,7,7,3.572,7
38927,201310,Fall 2013,2013-2014,Junior,5,5,3.067,5
38927,201320,Spring 2014,2013-2014,Junior,6,4,3.417,6
38927,201410,Fall 2014,2014-2015,Senior,5,4,3.417,5
38927,201420,Spring 2015,2014-2015,Senior,3,2,3.333,3
39783,201100,Summer 2011 / AP,2011-2012,Pre-College,1,1,3.333,1
39783,201110,Fall 2011,2011-2012,Freshman,7,5,3.533,7
39783,201120,Spring 2012,2011-2012,Freshman,6,5,3.667,6
39783,201210,Fall 2012,2012-2013,Sophomore,5,5,3.667,5
39783,201220,Spring 2013,2012-2013,Sophomore,6,5,3.667,6
39783,201300,Summer 2013,2013-2014,Junior,1,1,3.667,1
39783,201310,Fall 2013,2013-2014,Junior,5,5,3.867,5
39783,201320,Spring 2014,2013-2014,Junior,5,5,3.667,5
39783,201410,Fall 2014,2014-2015,Senior,4,4,3.917,4
39783,201420,Spring 2015,2014-2015,Senior,5,5,3.867,5
40629,201110,Fall 2011,2011-2012,Freshman,12,5,3.533,12
40629,201120,Spring 2012,2011-2012,Freshman,7,5,3.4,7
40629,201210,Fall 2012,2012-2013,Sophomore,5,5,3.6,5
40629,201220,Spring 2013,2012-2013,Sophomore,6,5,3.667,6
40629,201310,Fall 2013,2013-2014,Junior,8,7,3.714,8
40629,201320,Spring 2014,2013-2014,Junior,6,4,4.0,6
40629,201410,Fall 2014,2014-2015,Senior,7,7,3.572,7
40629,201420,Spring 2015,2014-2015,Senior,5,5,3.6,5
40997,201100,Summer 2011 / AP,2011-2012,Pre-College,1,1,3.667,1
40997,201110,Fall 2011,2011-2012,Freshman,10,5,3.533,10
40997,201120,Spring 2012,2011-2012,Freshman,7,5,3.267,7
40997,201200,Summer 2012,2012-2013,Sophomore,2,2,3.667,2
40997,201210,Fall 2012,2012-2013,Sophomore,6,5,3.333,6
40997,201220,Spring 2013,2012-2013,Sophomore,6,5,3.733,6
40997,201310,Fall 2013,2013-2014,Junior,6,6,3.667,6
40997,201320,Spring 2014,2013-2014,Junior,6,5,3.933,6
40997,201410,Fall 2014,2014-2015,Senior,5,5,3.734,5
40997,201420,Spring 2015,2014-2015,Senior,5,4,3.0,5
44167,201110,Fall 2011,2011-2012,Freshman,8,5,3.2,8
44167,201120,Spring 2012,2011-2012,Freshman,6,5,3.333,6
44167,201200,Summer 2012,2012-2013,Sophomore,2,2,3.167,2
44167,201210,Fall 2012,2012-2013,Sophomore,6,5,2.867,6
44167,201220,Spring 2013,2012-2013,Sophomore,5,5,3.066,5
44167,201300,Summer 2013,2013-2014,Junior,3,3,3.778,3
44167,201310,Fall 2013,2013-2014,Junior,4,3,3.333,4
44167,201320,Spring 2014,2013-2014,Junior,4,3,3.111,4
44167,201400,Summer 2014,2014-2015,Senior,2,2,3.833,2
44167,201410,Fall 2014,2014-2015,Senior,4,3,3.0,4
44167,201420,Spring 2015,2014-2015,Senior,4,4,3.667,4
44520,201110,Fall 2011,2011-2012,Freshman,16,4,4.0,16
44520,201120,Spring 2012,2011-2012,Freshman,6,4,3.333,6
44520,201200,Summer 2012,2012-2013,Sophomore,2,2,3.833,2
44520,201210,Fall 2012,2012-2013,Sophomore,6,6,3.611,6
44520,201220,Spring 2013,2012-2013,Sophomore,5,5,3.667,5
44520,201310,Fall 2013,2013-2014,Junior,6,6,3.222,6
44520,201320,Spring 2014,2013-2014,Junior,5,5,3.4,5
44520,201410,Fall 2014,2014-2015,Senior,6,6,3.389,6
44520,201420,Spring 2015,2014-2015,Senior,4,4,3.333,4
44956,201110,Fall 2011,2011-2012,Freshman,17,5,3.533,17
44956,201120,Spring 2012,2011-2012,Freshman,6,5,4.0,6
44956,201210,Fall 2012,2012-2013,Sophomore,7,7,3.952,7
44956,201220,Spring 2013,2012-2013,Sophomore,9,7,3.952,9
44956,201310,Fall 2013,2013-2014,Junior,7,6,4.0,7
44956,201320,Spring 2014,2013-2014,Junior,5,4,4.0,5
44956,201410,Fall 2014,2014-2015,Senior,5,5,3.867,5
44956,201420,Spring 2015,2014-2015,Senior,4,3,4.0,4
45000,201110,Fall 2011,2011-2012,Freshman,11,5,1.933,10
45000,201120,Spring 2012,2011-2012,Freshman,6,5,3.533,6
45000,201210,Fall 2012,2012-2013,Sophomore,6,6,3.5,6
45000,201220,Spring 2013,2012-2013,Sophomore,8,6,3.5,8
45000,201310,Fall 2013,2013-2014,Junior,8,6,3.333,8
45000,201320,Spring 2014,2013-2014,Junior,7,6,3.389,7
45000,201410,Fall 2014,2014-2015,Senior,6,5,3.267,6
45000,201420,Spring 2015,2014-2015,Senior,6,4,3.583,6
45292,201110,Fall 2011,2011-2012,Freshman,10,5,3.667,10
45292,201120,Spring 2012,2011-2012,Freshman,6,5,4.0,6
45292,201210,Fall 2012,2012-2013,Sophomore,6,5,4.0,6
45292,201220,Spring 2013,2012-2013,Sophomore,6,6,3.889,6
45292,201310,Fall 2013,2013-2014,Junior,6,6,3.667,6
45292,201320,Spring 2014,2013-2014,Junior,7,6,3.945,7
45292,201410,Fall 2014,2014-2015,Senior,7,7,3.619,7
45292,201420,Spring 2015,2014-2015,Senior,7,7,3.905,7
45945,201110,Fall 2011,2011-2012,Freshman,11,5,3.8,11
45945,201120,Spring 2012,2011-2012,Freshman,6,5,3.733,6
45945,201210,Fall 2012,2012-2013,Sophomore,7,6,3.667,7
45945,201220,Spring 2013,2012-2013,Sophomore,7,6,3.722,7
45945,201310,Fall 2013,2013-2014,Junior,6,6,3.778,6
45945,201320,Spring 2014,2013-2014,Junior,5,5,4.0,5
45945,201410,Fall 2014,2014-2015,Senior,6,6,3.889,6
45945,201420,Spring 2015,2014-2015,Senior,5,5,3.8,5
46021,201110,Fall 2011,2011-2012,Freshman,11,5,3.933,11
46021,201120,Spring 2012,2011-2012,Freshman,7,5,4.0,7
46021,201210,Fall 2012,2012-2013,Sophomore,8,5,3.867,8
46021,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
46021,201310,Fall 2013,2013-2014,Junior,7,7,3.952,7
46021,201320,Spring 2014,2013-2014,Junior,5,5,4.0,5
46021,201410,Fall 2014,2014-2015,Senior,4,4,4.0,4
46021,201420,Spring 2015,2014-2015,Senior,4,4,3.917,4
46160,201110,Fall 2011,2011-2012,Freshman,14,6,3.889,14
46160,201120,Spring 2012,2011-2012,Freshman,8,5,3.667,8
46160,201200,Summer 2012,2012-2013,Sophomore,2,2,3.833,2
46160,201210,Fall 2012,2012-2013,Sophomore,7,5,3.4,7
46160,201220,Spring 2013,2012-2013,Sophomore,9,5,3.933,9
46160,201300,Summer 2013,2013-2014,Junior,1,0,,1
46160,201310,Fall 2013,2013-2014,Junior,6,4,3.833,6
46160,201320,Spring 2014,2013-2014,Junior,6,4,4.0,6
46160,201410,Fall 2014,2014-2015,Senior,7,3,3.667,7
46160,201420,Spring 2015,2014-2015,Senior,6,3,3.778,6
46584,201110,Fall 2011,2011-2012,Freshman,11,4,3.75,11
46584,201120,Spring 2012,2011-2012,Freshman,7,5,3.533,7
46584,201210,Fall 2012,2012-2013,Sophomore,5,4,3.75,5
46584,201220,Spring 2013,2012-2013,Sophomore,6,5,3.933,6
46584,201310,Fall 2013,2013-2014,Junior,1,1,4.0,1
46584,201410,Fall 2014,2014-2015,Senior,6,3,3.889,6
46584,201420,Spring 2015,2014-2015,Senior,5,4,3.917,5
46771,201110,Fall 2011,2011-2012,Freshman,15,5,3.533,15
46771,201120,Spring 2012,2011-2012,Freshman,8,5,3.467,8
46771,201210,Fall 2012,2012-2013,Sophomore,6,5,3.267,6
46771,201220,Spring 2013,2012-2013,Sophomore,6,5,3.4,6
46771,201300,Summer 2013,2013-2014,Junior,3,3,3.667,3
46771,201310,Fall 2013,2013-2014,Junior,5,5,3.4,5
46771,201320,Spring 2014,2013-2014,Junior,7,6,3.778,7
46771,201410,Fall 2014,2014-2015,Senior,6,5,3.8,6
46771,201420,Spring 2015,2014-2015,Senior,5,4,3.917,5
48187,201110,Fall 2011,2011-2012,Freshman,17,6,3.722,17
48187,201120,Spring 2012,2011-2012,Freshman,11,7,3.572,11
48187,201210,Fall 2012,2012-2013,Sophomore,9,6,3.5,9
48187,201220,Spring 2013,2012-2013,Sophomore,8,7,3.619,8
48187,201310,Fall 2013,2013-2014,Junior,6,5,3.8,6
48187,201320,Spring 2014,2013-2014,Junior,6,5,3.867,6
48187,201410,Fall 2014,2014-2015,Senior,5,5,3.933,5
48187,201420,Spring 2015,2014-2015,Senior,4,4,3.833,4
49294,201110,Fall 2011,2011-2012,Freshman,13,5,3.933,13
